Species_Latin,match.IOC,synonyms,Species_Common,Treename,Family,PassNonPass,Passerine_Clade1,Passerine_OscineSuboscine,Order,SearcherID,Evidence_Type,Evidence_Details,Female_Territoriality,Territorial_Period,Territory_Classification,Justification_Summary,References,Other_Notes,Territory_ClassificationYL,Territory_ClassificationEW,IT_project_classification_from_BNA,JPD_notes,PigotTobias_Territoriality,TerritoryType,Territory.Min,Territory.Max
Calcarius pictus,34223,Calcarius pictus,Smith's Longspur,Calcarius_pictus,Calcariidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,1,1,,weak,1,1,1
Emberiza spodocephala,34356,Emberiza spodocephala;Schoeniclus spodocephala,Black-faced Bunting,Emberiza_spodocephala,Emberizidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,1,,,weak,1,1,1
Pyrenestes ostrinus,32726,Pyrenestes ostrinus,Black-bellied Seedcracker,Pyrenestes_ostrinus,Estrildidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,1,,,weak,1,1,1
Coccothraustes vespertinus,33526,Hesperiphona vespertina;Coccothraustes vespertinus,Evening Grosbeak,Coccothraustes_vespertinus,Fringillidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,1,,,weak,1,1,1
Rhodopechys obsoletus,NA,#VALUE!,Desert Finch,Rhodopechys_obsoletus,Fringillidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,1,,,weak,1,1,1
Loxops coccineus,33766,Loxops coccineus;Loxops coccinea ,Akepa,Loxops_coccineus,Fringillidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,1,,,weak,1,1,1
Leucosticte tephrocotis,33626,Leucosticte tephrocotis,Gray-crowned Rosy-finch,Leucosticte_tephrocotis,Fringillidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,1,,,weak,1,1,1
Euphonia hirundinacea,34144,Euphonia hirundinacea,Yellow-throated Euphonia,Euphonia_hirundinacea,Fringillidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,1,,,weak,1,1,1
Carpodacus rubicilloides,33647,Carpodacus rubicilloides,Streaked Rosefinch,Carpodacus_rubicilloides,Fringillidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,1,,,weak,1,1,1
Carpodacus rubicilla,33650,Carpodacus rubicilla,Great Rosefinch,Carpodacus_rubicilla,Fringillidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,1,,,weak,1,1,1
Carpodacus eos,33667,Carpodacus eos;              ,Pink-rumped Rosefinch,Carpodacus_eos,Fringillidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,1,,,weak,1,1,1
Loxia curvirostra,33987,Loxia curvirostra,Red Crossbill,Loxia_curvirostra,Fringillidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,4,1,"disagreement; JPD note: BNA says 'little evidence for territories', but I agree that this could be classified as 3 (more consistent with notes in EW spreadsheet)",none,1,1,1
Loxia leucoptera,34012,Loxia leucoptera,White-winged Crossbill,Loxia_leucoptera,Fringillidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,4,1,disagreement,none,1,1,1
Pseudoleistes virescens,35445,Pseudoleistes virescens,Brown-and-yellow Marshbird,Pseudoleistes_virescens,Icteridae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,1,,,weak,1,1,1
Molothrus rufoaxillaris,35327,Molothrus rufoaxillaris,Screaming Cowbird,Molothrus_rufoaxillaris,Icteridae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,1,,,,1,1,1
Molothrus oryzivorus,35328,Molothrus oryzivorus;Scaphidura oryzivora,Giant Cowbird,Molothrus_oryzivorus,Icteridae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,1,,,,1,1,1
Molothrus armenti,35343,Molothrus armenti,Bronze-brown Cowbird,Molothrus_armenti,Icteridae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,1,,,,1,1,1
Quiscalus major,35383,Quiscalus major,Boat-tailed Grackle,Quiscalus_major,Icteridae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,4,1,disagreement: BNA indicates 'non-territorial',none,1,1,1
Ammodramus caudacutus,34569,Ammodramus caudacutus;Ammospiza caudacuta  ,Saltmarsh Sparrow,Ammodramus_caudacutus,Passerellidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,1,1,,weak,1,1,1
Molothrus bonariensis,35331,Molothrus bonariensis,Shiny Cowbird,Molothrus_bonariensis,Icteridae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,2,,,,2,2,2
Molothrus aeneus,35339,Molothrus aeneus,Bronzed Cowbird,Molothrus_aeneus,Icteridae,Passeriformes,Passerida,Oscine,Passeriformes,YL,,,,,,,,,2,,2,,,2,2,2
Nectarinia rufipennis,31953,Cinnyris rufipennis;Cyanomitra rufipennis;Nectarinia rufipennis,Rufous-winged Sunbird,Nectarinia_rufipennis,Nectariniidae,Passeriformes,Passerida,Oscine,Passeriformes,EW & YL,,,,,,,,,2,5,,disagreement: JPD agrees with YL here; lekking more relevant to breeding territory than feeding,weak,2,2,2
Emberiza hortulana,34281,Emberiza hortulana,Ortolan Bunting,Emberiza_hortulana,Emberizidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,3,,,weak,3,3,3
Erythrura gouldiae,32990,Erythrura gouldiae;Chloebia gouldiae ,Gouldian Finch,Erythrura_gouldiae,Estrildidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,3,,,none,3,3,3
Lonchura cantans,32992,Euodice cantans;Lonchura cantans,African Silverbill,Lonchura_cantans,Estrildidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,3,,,none,3,3,3
Uraeginthus angolensis,32794,Uraeginthus angolensis,Blue-breasted Cordonbleu,Uraeginthus_angolensis,Estrildidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,3,,,weak,3,3,3
Estrilda nonnula,32864,Estrilda nonnula,Black-crowned Waxbill,Estrilda_nonnula,Estrildidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,3,,,weak,3,3,3
Lonchura melaena,33118,Lonchura melaena,Bismarck Munia,Lonchura_melaena,Estrildidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,3,,,weak,3,3,3
Taeniopygia guttata,32944,Taeniopygia guttata;Poephila guttata   ,Zebra Finch,Taeniopygia_guttata,Estrildidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,3,,,weak,3,3,3
Estrilda astrild,32845,Estrilda astrild,Common Waxbill,Estrilda_astrild,Estrildidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,3,,,weak,3,3,3
Neochmia phaeton,32924,Neochmia phaeton,Crimson Finch,Neochmia_phaeton,Estrildidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,3,,,weak,3,3,3
Ortygospiza atricollis,32891,Ortygospiza atricollis,Quailfinch,Ortygospiza_atricollis,Estrildidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,3,,,weak,3,3,3
Stagonopleura oculata,32914,Stagonopleura oculata;Emblema oculata      ,Red-eared Firetail,Stagonopleura_oculata,Estrildidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,3,,,weak,3,3,3
Lonchura punctulata,33025,Lonchura punctulata,Scaly-breasted Munia,Lonchura_punctulata,Estrildidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,3,,,weak,3,3,3
Amandava formosa,32887,Amandava formosa;Sporaeginthus formosus,Green Avadavat,Amandava_formosa,Estrildidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,3,,,weak,3,3,3
Lonchura flaviprymna,33104,Lonchura flaviprymna,Yellow-rumped Munia,Lonchura_flaviprymna,Estrildidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,3,,,weak,3,3,3
Poephila cincta,32940,Poephila cincta,Black-throated Finch,Poephila_cincta,Estrildidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,3,,,weak,3,3,3
Lonchura grandis,33081,Lonchura grandis,Grand Munia,Lonchura_grandis,Estrildidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,3,,,weak,3,3,3
Lonchura castaneothorax,33105,Lonchura castaneothorax,Chestnut-breasted Munia,Lonchura_castaneothorax,Estrildidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,3,,,weak,3,3,3
Poephila acuticauda,32937,Poephila acuticauda            Poephila acuticauda acuticauda,Long-tailed Finch,Poephila_acuticauda,Estrildidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,3,,,weak,3,3,3
Uraeginthus cyanocephalus,32804,Uraeginthus cyanocephalus;Uraeginthus cyanocephala ,Blue-capped Cordonbleu,Uraeginthus_cyanocephalus,Estrildidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,3,,,weak,3,3,3
Amadina fasciata,32706,Amadina fasciata,Cut-throat,Amadina_fasciata,Estrildidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,3,,,weak,3,3,3
Lonchura cucullata,32998,Lonchura cucullata;Spermestes cucullata;Spermestes cucullatus,Bronze Munia,Lonchura_cucullata,Estrildidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,3,,,weak,3,3,3
Taeniopygia bichenovii,32948,Taeniopygia bichenovii;Poephila bichenovii;Stizoptera bichenovii ,Double-barred Finch,Taeniopygia_bichenovii,Estrildidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,3,,,weak,3,3,3
Lagonosticta senegala,32762,Lagonosticta senegala,Red-billed Firefinch,Lagonosticta_senegala,Estrildidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,3,,,weak,3,3,3
Neochmia ruficauda,32929,Neochmia ruficauda;Bathilda ruficauda,Star Finch,Neochmia_ruficauda,Estrildidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,3,,,weak,3,3,3
Neochmia temporalis,32920,Neochmia temporalis;Aegintha temporalis,Red-browed Finch,Neochmia_temporalis,Estrildidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,3,,,weak,3,3,3
Amadina erythrocephala,32703,Amadina erythrocephala,Red-headed Finch,Amadina_erythrocephala,Estrildidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,3,,,weak,3,3,3
Lonchura malacca,33060,Lonchura malacca,Tricoloured Munia,Lonchura_malacca,Estrildidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,3,,,weak,3,3,3
Uraeginthus bengalus,32798,Uraeginthus bengalus,Red-cheeked Cordonbleu,Uraeginthus_bengalus,Estrildidae,Passeriformes,Passerida,Oscine,Passeriformes,EW & YL,,,,,,,,,,3,,,weak,3,3,3
Carduelis chloris,33798,Chloris chloris;Carduelis chloris,European Greenfinch,Carduelis_chloris,Fringillidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,3,,,weak,3,3,3
Serinus canaria,34048,Serinus canaria,Island Canary,Serinus_canaria,Fringillidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,3,,,weak,3,3,3
Carduelis atrata,34108,Spinus atratus;Carduelis atrata;Sporagra atrata ,Black Siskin,Carduelis_atrata,Fringillidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,3,,,weak,3,3,3
Telespiza cantans,33723,Telespiza cantans;Loxioides cantans,Laysan Finch,Telespiza_cantans,Fringillidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,3,,,weak,3,3,3
Carduelis hornemanni,33981,Acanthis hornemanni;Carduelis hornemanni,Hoary Redpoll,Carduelis_hornemanni,Fringillidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,3,,,weak,3,3,3
Loxia megaplaga,34015,Loxia megaplaga,Hispaniolan Crossbill,Loxia_megaplaga,Fringillidae,Passeriformes,Passerida,Oscine,Passeriformes,EW & YL,,,,,,,,,,3,,missing YL,none,3,3,3
Carduelis pinus,34077,Spinus pinus;Carduelis pinus,Pine Siskin,Carduelis_pinus,Fringillidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,4,3,disagreement: BNA suggests they nest in small colonies,weak,3,3,3
Quiscalus niger,35375,Quiscalus niger,Greater Antillean Grackle,Quiscalus_niger,Icteridae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,3,,,none,3,3,3
Quiscalus nicaraguensis,35364,Quiscalus nicaraguensis,Nicaraguan Grackle,Quiscalus_nicaraguensis,Icteridae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,3,,,none,3,3,3
Quiscalus lugubris,35365,Quiscalus lugubris,Carib Grackle,Quiscalus_lugubris,Icteridae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,3,,,none,3,3,3
Psarocolius viridis,35148,Psarocolius viridis,Green Oropendola,Psarocolius_viridis,Icteridae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,3,,,none,3,3,3
Psarocolius angustifrons,35133,Psarocolius angustifrons,Russet-backed Oropendola,Psarocolius_angustifrons,Icteridae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,3,,,none,3,3,3
Cacicus haemorrhous,35180,Cacicus haemorrhous,Red-rumped Cacique,Cacicus_haemorrhous,Icteridae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,3,,,none,3,3,3
Psarocolius cassini,35156,Psarocolius cassini;Gymnostinops cassini,Baudo Oropendola,Psarocolius_cassini,Icteridae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,3,,,none,3,3,3
Psarocolius decumanus,35143,Psarocolius decumanus,Crested Oropendola,Psarocolius_decumanus,Icteridae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,3,,,none,3,3,3
Clypicterus oseryi,35179,Cacicus oseryi;Clypicterus oseryi;Psarocolius oseryi,Casqued Oropendola,Clypicterus_oseryi,Icteridae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,3,,,none,3,3,3
Psarocolius wagleri,35130,Psarocolius wagleri,Chestnut-headed Oropendola,Psarocolius_wagleri,Icteridae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,3,,,none,3,3,3
Psarocolius guatimozinus,35155,Psarocolius guatimozinus;Gymnostinops guatimozinus,Black Oropendola,Psarocolius_guatimozinus,Icteridae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,3,,,none,3,3,3
Psarocolius bifasciatus,35149,Psarocolius bifasciatus;Gymnostinops bifasciatus,Olive Oropendola,Psarocolius_bifasciatus,Icteridae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,3,,,none,3,3,3
Xanthopsar flavus,35442,Xanthopsar flavus;Agelaius flavus  ,Saffron-cowled Blackbird,Xanthopsar_flavus,Icteridae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,3,,,none,3,3,3
Psarocolius atrovirens,35142,Psarocolius atrovirens,Dusky-green Oropendola,Psarocolius_atrovirens,Icteridae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,3,,,none,3,3,3
Agelaius xanthomus,35292,Agelaius xanthomus,Yellow-shouldered Blackbird,Agelaius_xanthomus,Icteridae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,3,,,weak,3,3,3
Cacicus melanicterus,35129,Cassiculus melanicterus;Cacicus melanicterus   ,Yellow-winged Cacique,Cacicus_melanicterus,Icteridae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,3,,,weak,3,3,3
Pseudoleistes guirahuro,35446,Pseudoleistes guirahuro,Yellow-rumped Marshbird,Pseudoleistes_guirahuro,Icteridae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,3,,,weak,3,3,3
Cacicus chrysonotus,35176,Cacicus chrysonotus,Mountain Cacique,Cacicus_chrysonotus,Icteridae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,3,,,weak,3,3,3
Agelaius humeralis,35295,Agelaius humeralis,Tawny-shouldered Blackbird,Agelaius_humeralis,Icteridae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,3,,,weak,3,3,3
Agelasticus cyanopus,35431,Agelasticus cyanopus;Agelaius cyanopus   ,Unicoloured Blackbird,Agelasticus_cyanopus,Icteridae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,3,,,weak,3,3,3
Sturnella militaris,35122,Leistes defilippii;Sturnella defilippii;Sturnella militaris ,Red-breasted Blackbird,Sturnella_militaris,Icteridae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,3,,,weak,3,3,3
Euphagus cyanocephalus,35359,Euphagus cyanocephalus,Brewer's Blackbird,Euphagus_cyanocephalus,Icteridae,Passeriformes,Passerida,Oscine,Passeriformes,YL,,,,,,,,,,,3,missing YL,weak,3,3,3
Quiscalus mexicanus,35388,Quiscalus mexicanus,Great-tailed Grackle,Quiscalus_mexicanus,Icteridae,Passeriformes,Passerida,Oscine,Passeriformes,YL,,,,,,,,,4,,3,disagreement: BNA suggests just defend nesting trees in which multiple femaels nest; 3/4 is probably right here,none,3,3,3
Euphagus carolinus,35356,Euphagus carolinus,Rusty Blackbird,Euphagus_carolinus,Icteridae,Passeriformes,Passerida,Oscine,Passeriformes,YL,,,,,,,,,4,,3,disagreement: BNA description suggests sometimes 3 sometimes 4,weak,3,3,3
Agelaius tricolor,35298,Agelaius tricolor,Tricoloured Blackbird,Agelaius_tricolor,Icteridae,Passeriformes,Passerida,Oscine,Passeriformes,YL,,,,,,,,,3,,3,,weak,3,3,3
Molothrus ater,35345,Molothrus ater,Brown-headed Cowbird,Molothrus_ater,Icteridae,Passeriformes,Passerida,Oscine,Passeriformes,YL,,,,,,,,,1,,3,"disagreement: I agree with YL here, unless we decide defense of femaels but not other space constitutes evidence of type 3 territory (not so in current protocol)",,3,3,3
Icteria virens,35083,Icteria virens,Yellow-breasted Chat,Icteria_virens,Icteriidae,Passeriformes,Passerida,Oscine,Passeriformes,YL,,,,,,,,,5,,3,"disagreement: Looks like Hinde 1956 reference is to whinchats and not yellow chats, unless I've missed something",weak,3,3,3
Ammodramus maritimus,34555,Ammodramus maritimus;Ammospiza maritima  ,Seaside Sparrow,Ammodramus_maritimus,Passerellidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,5,3,disagreement: I think EW is right here,weak,5,5,5
Granatellus sallaei,35951,Granatellus sallaei,Grey-throated Chat,Granatellus_sallaei,Cardinalidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,4,,,weak,4,4,4
Emberiza schoeniclus,34372,Emberiza schoeniclus;Schoeniclus schoeniclus,Reed Bunting,Emberiza_schoeniclus,Emberizidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,4,,,weak,4,4,4
Emberiza cia,34251,Emberiza cia,Rock Bunting,Emberiza_cia,Emberizidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,4,,,weak,4,4,4
Emberiza sulphurata,34355,Emberiza sulphurata;Schoeniclus sulphuratus,Yellow Bunting,Emberiza_sulphurata,Emberizidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,4,,,weak,4,4,4
Emberiza citrinella,34244,Emberiza citrinella,Yellowhammer,Emberiza_citrinella,Emberizidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,4,,,weak,4,4,4
Emberiza leucocephalos,34248,Emberiza leucocephalos;Emberiza leucocephala ,Pine Bunting,Emberiza_leucocephalos,Emberizidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,4,,,weak,4,4,4
Emberiza yessoensis,34369,Emberiza yessoensis;Schoeniclus yessoensis,Ochre-rumped Bunting,Emberiza_yessoensis,Emberizidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,4,,,weak,4,4,4
Pytilia melba,32692,Pytilia melba,Green-winged Pytilia,Pytilia_melba,Estrildidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,4,,,weak,4,4,4
Amandava amandava,32883,Amandava amandava,Red Avadavat,Amandava_amandava,Estrildidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,4,,,weak,4,4,4
Loxia scotica,33985,Loxia scotica,Scottish Crossbill,Loxia_scotica,Fringillidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,4,,,none,4,4,4
Loxia pytyopsittacus,33984,Loxia pytyopsittacus,Parrot Crossbill,Loxia_pytyopsittacus,Fringillidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,4,,,none,4,4,4
Leucosticte arctoa,33620,Leucosticte arctoa,Asian Rosy-finch,Leucosticte_arctoa,Fringillidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,4,,,weak,4,4,4
Carduelis cannabina,33965,Linaria cannabina;Carduelis cannabina;Acanthis cannabina ,Eurasian Linnet,Carduelis_cannabina,Fringillidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,4,,,weak,4,4,4
Vestiaria coccinea,33735,Drepanis coccinea;Vestiaria coccinea,Iiwi,Vestiaria_coccinea,Fringillidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,4,,,weak,4,4,4
Carpodacus erythrinus,33639,Carpodacus erythrinus;Erythrina erythrina  ,Common Rosefinch,Carpodacus_erythrinus,Fringillidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,4,,,weak,4,4,4
Carduelis flavirostris,33955,Linaria flavirostris;Carduelis flavirostris;Acanthis flavirostris ,Twite,Carduelis_flavirostris,Fringillidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,4,,,weak,4,4,4
Carduelis carduelis,34024,Carduelis carduelis,European Goldfinch,Carduelis_carduelis,Fringillidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,4,,,weak,4,4,4
Fringilla montifringilla,33518,Fringilla montifringilla,Brambling,Fringilla_montifringilla,Fringillidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,4,,,weak,4,4,4
Carduelis flammea,33975,Acanthis flammea;Carduelis flammea,Common Redpoll,Carduelis_flammea,Fringillidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,4,,,weak,4,4,4
Loxioides bailleui,33727,Loxioides bailleui,Palila,Loxioides_bailleui,Fringillidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,4,,,weak,4,4,4
Carduelis lawrencei,34063,Spinus lawrencei;Carduelis lawrencei;Astragalinus lawrencei,Lawrence's Goldfinch,Carduelis_lawrencei,Fringillidae,Passeriformes,Passerida,Oscine,Passeriformes,YL,,,,,,,,,,,4,missing YL,weak,4,4,4
Carpodacus mexicanus,33783,Haemorhous mexicanus;Carpodacus mexicanus,House Finch,Carpodacus_mexicanus,Fringillidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,1/4,4,disagreement: BNA suggests that territories are 3/4,weak,4,4,4
Carduelis psaltria,34069,Spinus psaltria;Carduelis psaltria;Astragalinus psaltria,Lesser Goldfinch,Carduelis_psaltria,Fringillidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,4,4,,weak,4,4,4
Leucosticte australis,33637,Leucosticte australis,Brown-capped Rosy-finch,Leucosticte_australis,Fringillidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,1 to 3/4,4,missing EW,weak,4,4,4
Oreomystis mana,33762,Loxops mana;Manucerthia mana;Oreomystis mana ,Hawaii Creeper,Oreomystis_mana,Fringillidae,Passeriformes,Passerida,Oscine,Passeriformes,EW & YL,,,,,,,,,4 (radius of 15-20m),4,,,weak,4,4,4
Carduelis tristis,34064,Spinus tristis;Carduelis tristis;Astragalinus tristis,American Goldfinch,Carduelis_tristis,Fringillidae,Passeriformes,Passerida,Oscine,Passeriformes,YL,,,,,,,,,4,,4,,weak,4,4,4
Agelaioides badius,35421,Agelaioides badius;Molothrus badius  ,Bay-winged Cowbird,Agelaioides_badius,Icteridae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,4,,,none,4,4,4
Gymnomystax mexicanus,35405,Gymnomystax mexicanus,Oriole Blackbird,Gymnomystax_mexicanus,Icteridae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,4,,,weak,4,4,4
Sturnella loyca,35117,Leistes loyca;Sturnella loyca;Pezites militaris,Long-tailed Meadowlark,Sturnella_loyca,Icteridae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,4,,,weak,4,4,4
Sturnella defilippii,35122,Leistes defilippii;Sturnella defilippii;Sturnella militaris ,Pampas Meadowlark,Sturnella_defilippii,Icteridae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,4,,,weak,4,4,4
Sturnella superciliaris,35112,Leistes superciliaris;Sturnella superciliaris,White-browed Blackbird,Sturnella_superciliaris,Icteridae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,4,,,weak,4,4,4
Icterus cucullatus,35255,Icterus cucullatus,Hooded Oriole,Icterus_cucullatus,Icteridae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,5,4,missing EW,weak,4,4,4
Agelaius phoeniceus,35299,Agelaius phoeniceus,Red-winged Blackbird,Agelaius_phoeniceus,Icteridae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,4,4,,weak,4,4,4
Icterus graduacauda,35190,Icterus graduacauda,Audubon's Oriole,Icterus_graduacauda,Icteridae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,5,4,missing EW,weak,4,4,4
Motacilla flava,33221,Motacilla flava,Yellow Wagtail,Motacilla_flava,Motacillidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,4,,,weak,4,4,4
Anthus correndera,33477,Anthus correndera,Correndera Pipit,Anthus_correndera,Motacillidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,4,,,weak,4,4,4
Anthus cervinus,33424,Anthus cervinus,Red-throated Pipit,Anthus_cervinus,Motacillidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,4,,,weak,4,4,4
Motacilla citreola,33241,Motacilla citreola,Citrine Wagtail,Motacilla_citreola,Motacillidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,4,,,weak,4,4,4
Anthus pratensis,33408,Anthus pratensis,Meadow Pipit,Anthus_pratensis,Motacillidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,4,,,weak,4,4,4
Anthus richardi,33303,Anthus richardi;Corydalla richardi,Richard's Pipit,Anthus_richardi,Motacillidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,4,,,weak,4,4,4
